authors,likes,quotes,tags
Oscar Wilde,143486,“Be yourself; everyone else is already taken.”,"['attributed-no-source', 'be-yourself', 'honesty', 'inspirational', 'misattributed-oscar-wilde']"
William W. Purkey,115082,"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”","['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']"
Mahatma Gandhi,103308,“Be the change that you wish to see in the world.”,"['action', 'change', 'inspirational', 'philosophy', 'wish']"
"Eleanor Roosevelt,",82823,“No one can make you feel inferior without your consent.”,"['confidence', 'inspirational', 'wisdom']"
Mahatma Gandhi,70903,“Live as if you were to die tomorrow. Learn as if you were to live forever.”,"['carpe-diem', 'education', 'inspirational', 'learning']"
"Martin Luther King Jr.,",70110,“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']"
"Friedrich Nietzsche,",64991,"“Without music, life would be a mistake.”","['inspirational', 'music', 'philosophy']"
"Stephen Chbosky,",63111,“We accept the love we think we deserve.”,"['inspirational', 'love']"
Marilyn Monroe,47467,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","['attributed-no-source', 'be-yourself', 'inspirational']"
Albert Einstein,46348,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles']"
"Oscar Wilde,",41758,"“We are all in the gutter, but some of us are looking at the stars.”","['inspirational', 'optimism', 'perception', 'pessimism']"
"Neil Gaiman,",41016,"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']"
Bill Keane,40561,"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”","['attributed-no-source', 'hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']"
Thomas A. Edison,39361,"“I have not failed. I've just found 10,000 ways that won't work.”","['edison', 'failure', 'inspirational', 'paraphrased']"
Elie Wiesel,38417,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
Albert Einstein,36010,“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”,"['1929', 'imagination', 'inspirational', 'viereck-interview']"
"Dr. Seuss,",32885,“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”,['inspirational']
George Eliot,31051,“It is never too late to be what you might have been.”,"['inspirational', 'source-unknown']"
Marilyn Monroe,30750,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","['attributed-no-source', 'friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
"Maya Angelou,",28290,“There is no greater agony than bearing an untold story inside you.”,"['1970', 'inspirational', 'stories', 'writing']"
Pablo Picasso,27579,“Everything you can imagine is real.”,"['art', 'imagination', 'inspirational', 'life']"
C.S. Lewis,25562,“You can never get a cup of tea large enough or a book long enough to suit me.”,"['books', 'inspirational', 'reading', 'tea']"
"J.K. Rowling,",24463,"“To the well-organized mind, death is but the next great adventure.”","['death', 'inspirational']"
George Bernard Shaw,23693,“Life isn't about finding yourself. Life is about creating yourself.”,"['inspirational', 'life', 'yourself']"
Theodore Roosevelt,22559,"“Do what you can, with what you have, where you are.”",['inspirational']
Shel Silverstein,21821,"“Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.”","['anything-can-be', 'hope', 'impossible', 'inspirational', 'musn-t', 'possibilities', 'shouldn-t', 'won-t']"
Helen Keller,21602,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",['inspirational']
Winston S. Churchill,21119,"“Success is not final, failure is not fatal: it is the courage to continue that counts.”","['bravery', 'courage', 'failure', 'inspirational', 'success']"
"Stephen Chbosky,",20765,"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”","['charlie', 'favourite-books', 'inspirational', 'sad', 'soul-searching', 'wallflower']"
John Lennon,18156,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
"Paulo Coelho,",17560,"“And, when you want something, all the universe conspires in helping you to achieve it.”",['inspirational']
"Marianne Williamson,",16417,"“Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”","['akeelah', 'fear', 'inspirational']"
Lewis Carroll,16057,"“It’s no use going back to yesterday, because I was a different person then.”","['alice', 'humor', 'inspirational', 'philosophy-of-life', 'psychological', 'yesterday']"
